sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
전국,01-Feb,2013년02월,0.007143158,"79,030","11,063,734","11,154,003","461,195","382,165",22,전산업,20,전직종
전국,01-Mar,2013년03월,0.005707727,"63,664","11,154,003","11,224,649","679,580","615,916",22,전산업,20,전직종
전국,01-Apr,2013년04월,0.009929932,"111,460","11,224,649","11,321,012","608,000","496,540",22,전산업,20,전직종
전국,01-May,2013년05월,0.004520444,"51,176","11,321,012","11,378,032","492,913","441,737",22,전산업,20,전직종
전국,01-Jun,2013년06월,0.002971955,"33,815","11,378,032","11,421,300","436,274","402,459",22,전산업,20,전직종
전국,01-Jul,2013년07월,0.001964225,"22,434","11,421,300","11,432,576","537,631","515,197",22,전산업,20,전직종
전국,01-Aug,2013년08월,0.00330984,"37,840","11,432,576","11,471,352","455,234","417,394",22,전산업,20,전직종
전국,01-Sep,2013년09월,0.004245446,"48,701","11,471,352","11,507,064","442,087","393,386",22,전산업,20,전직종
전국,01-Oct,2013년10월,0.006165517,"70,947","11,507,064","11,561,144","510,411","439,464",22,전산업,20,전직종
전국,01-Nov,2013년11월,0.005805654,"67,120","11,561,144","11,616,488","482,297","415,177",22,전산업,20,전직종
전국,01-Dec,2013년12월,-0.003350496,"-38,921","11,616,488","11,571,213","398,592","437,513",22,전산업,20,전직종
전국,01-Jan,2014년01월,-0.006495775,"-75,164","11,571,213","11,492,023","591,480","666,644",22,전산업,20,전직종
전국,01-Feb,2014년02월,0.006726231,"77,298","11,492,023","11,568,393","495,616","418,318",22,전산업,20,전직종
전국,01-Mar,2014년03월,0.008415516,"97,354","11,568,393","11,640,718","720,573","623,219",22,전산업,20,전직종
전국,01-Apr,2014년04월,0.010671335,"124,222","11,640,718","11,745,295","630,069","505,847",22,전산업,20,전직종
전국,01-May,2014년05월,0.005553202,"65,224","11,745,295","11,799,230","500,180","434,956",22,전산업,20,전직종
전국,01-Jun,2014년06월,0.001631801,"19,254","11,799,230","11,809,179","451,742","432,488",22,전산업,20,전직종
전국,01-Jul,2014년07월,0.000739933,"8,738","11,809,179","11,810,327","555,630","546,892",22,전산업,20,전직종
전국,01-Aug,2014년08월,0.004625189,"54,625","11,810,327","11,857,295","477,057","422,432",22,전산업,20,전직종
